0	Index      	 *	Score 	Summary	Detail	
133	32262 12722	   	171.66	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|26aVULN|3AART|4MBVNT|5ASPD|7FEWX|8DMG|9RCR
134	32262 14822	   	171.66	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|26aVULN|3AART|4MBVNT|5ASPD|7LWND|8DMG|9RCR
135	35264 12722	   	171.66	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2FEWX|3AART|4MBVNT|5ASPD|67aVULN|8DMG|9RCR
136	32262 17822	   	171.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|26aVULN|3AART|4MBVNT|5ASPD|7LEGI|8DMG|9RCR
137	32262 42822	   	171.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|27aVULN|3AART|4MBVNT|5ASPD|6LEGI|8DMG|9RCR
138	36264 12822	   	171.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2DUST|3AART|4MBVNT|5ASPD|67aVULN|8DMG|9RCR
139	62222 11154	 * 	171.44	ACR|3VULN|1AART|2ZMB|2ASPD	1BEXP|267VULN|3AART|4RCR|59ASPD|8aZMB
140	32134 61611	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1DUR|29aVULN|3MLV|4AART|57CGEN|6RCR|8DMG
141	62222 11141	   	171.40	ACR|3VULN|1AART|2ZMB|2ASPD|1SELL	1aBEXP|267VULN|3AART|4RCR|5aASPD|8aZMB|9SELL|aBPWR
142	62222 42612	   	171.01	ACR|4VULN|1AART|1ASPD|1DUR	1BEXP|2789VULN|3AART|4RCR|5ASPD|6DUR|aCGEN
143	31612 14633	   	170.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2LWND|36VULN|4ASPD|5AART|7CDMG|8RCR|9CGEN|aDMG
144	32512 14633	   	170.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|26VULN|3LWND|4ASPD|5AART|7CDMG|8RCR|9CGEN|aDMG
145	62222 42613	   	170.91	ACR|4VULN|1AART|1DUR|1ASPD	1BEXP|2789VULN|3AART|4RCR|5ASPD|6DUR|aERES
146	32262 72621	   	170.90	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9MGNSTR|aFEWX
147	32262 72623	   	170.90	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9MGNSTR|aLHND
148	32262 72624	   	170.90	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9MGNSTR|aRCVC
149	32262 72643	   	170.90	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9RMIN|aRPLT
150	32262 72644	   	170.90	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9RMIN|aFEWX
151	31264 71634	   	170.90	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|2LWND|3AART|4MBVNT|58ASPD|6RCR|78aVULN|8BPWR|9BEXP
152	62221 62511	   	170.89	ACR|4VULN|1AART|2ASPD	18BEXP|279aVULN|3AART|4RCR|58LWND|68ASPD|8BPWR
153	61225 12512	   	170.89	ACR|4VULN|1AART|2ASPD	18BEXP|2LWND|3AART|4RCR|58ASPD|6789VULN|8BPWR|aCGEN
154	32262 72633	   	170.80	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9ERES|aRPLT
155	32262 72634	   	170.80	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9ERES|aFEWX
156	32262 72642	   	170.80	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9RMIN|aDUST
157	62222 16512	   	170.79	ACR|4VULN|1AART|2ASPD	18BEXP|2689VULN|3AART|4RCR|58ASPD|7LEGI|8BPWR|aCGEN
158	62222 26511	   	170.79	ACR|4VULN|1AART|2ASPD	18BEXP|289aVULN|3AART|4RCR|58ASPD|6RCVC|7LEGI|8BPWR
159	61225 12513	   	170.79	ACR|4VULN|1AART|2ASPD	18BEXP|2LWND|3AART|4RCR|58ASPD|6789VULN|8BPWR|aERES
160	32134 63621	   	170.75	DCR|4VULN|1AART|2DUR	19DUR|289aVULN|3MLV|4AART|5CGEN|6RCR|79TLV|9BPWR
161	32262 72631	   	170.70	DCR|3VULN|1AART|2ASPD|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9ERES|aDUST
162	62222 52511	   	170.69	ACR|4VULN|1AART|2ASPD	18BEXP|279aVULN|3AART|4RCR|58ASPD|68DUST|8BPWR
163	62222 16513	   	170.69	ACR|4VULN|1AART|2ASPD	18BEXP|2689VULN|3AART|4RCR|58ASPD|7LEGI|8BPWR|aERES
164	62223 11316	   	170.69	ACR|4VULN|1AART|1CDMG	1BEXP|2679VULN|3AART|4RCR|5TLV|8LWND|aCDMG
165	62223 11616	   	170.69	ACR|4VULN|1AART|1CDMG	1BEXP|2678VULN|3AART|4RCR|5TLV|9LWND|aCDMG
166	62224 11316	   	170.69	ACR|4VULN|1AART|1CDMG	1BEXP|2679VULN|3AART|4RCR|5ERES|8LWND|aCDMG
167	62222 31311	   	170.69	ACR|4VULN|1AART|2ASPD	1BEXP|279aVULN|3AART|4RCR|56ASPD|8LWND
168	62222 11241	   	170.64	ACR|4VULN|1AART|2ASPD|1SELL	1aBEXP|267aVULN|3AART|4RCR|5aASPD|8RMIN|9SELL|aBPWR
169	62222 36611	   	170.59	ACR|4VULN|1AART|2ASPD	1BEXP|289aVULN|3AART|4RCR|56ASPD|7LEGI
170	62222 42622	   	170.56	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1BEXP|278VULN|3AART|4RCR|5ASPD|6DUR|9MGNSTR|aCDMG
171	32262 73613	   	170.51	DCR|2AART|2VULN|3DUR|2ASPD	178DUR|28VULN|3aAART|4MBVNT|58ASPD|6RCR|8BPWR|9RPLT
172	32262 73644	   	170.51	DCR|2AART|2VULN|3DUR|2ASPD	178DUR|28VULN|3aAART|4MBVNT|58ASPD|6RCR|8BPWR|9RCVC
