0	Index      	 *	Score 	Summary	Detail	
85	31163 33214	   	170.57	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	18DUR|2CDMG|37AART|4FEWX|5VULN|6ZMB|9DMG|aRCR
86	42123 14215	   	170.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCVC|2AART|37DUR|4MBVNT|57CGEN|67VULN|7BPWR|8CDMG|9DMG|aRCR
87	13522 13355	   	170.15	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	19ERES|2VULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|aAART
88	13522 13344	   	169.93	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1ERES|29VULN|36DMG|4aDUR|5ASPD|7RCR|8CDMG
89	44131 11315	   	169.82	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|2CDMG|3VULN|4DUR|57FEWX|6RCR|89DMG|aAART
90	31143 33124	   	169.74	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2CDMG|37AART|4ZMB|5FEWX|68VULN|9ASPD|aRCR
91	31163 33124	   	169.74	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2CDMG|37AART|4FEWX|58VULN|6ZMB|9ASPD|aRCR
92	13632 31213	   	169.65	DCR|2VULN|2DMG|1AART|1ASPD	147ERES|29VULN|3ASPD|59LHND|6RCR|89DMG|9BPWR|aAART
93	31326 61114	   	169.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|38VULN|47BEXP|5ZMB|6AART|9DMG|aRCR
94	31342 61114	   	169.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|38VULN|4ZMB|57BEXP|6AART|9DMG|aRCR
95	31133 41215	   	169.53	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	178DUR|2CDMG|3AART|47TLV|57VULN|6DMSP|7BPWR|9DMG|aRCR
96	34122 13221	   	169.51	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3MLV|4AART|567VULN|8CGEN|9RCR|aDMG
97	42263 23226	   	169.43	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|26AART|3DUST|4CGEN|57VULN|8CDMG|9DMG|aRCR
98	23251 63253	   	169.43	ACR|2VULN|2AART|1DMG|2DUR	15CGEN|25VULN|3RPLT|4RCR|5BPWR|67AART|8aDUR|9DMG
99	34422 12153	   	169.41	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3TLV|4AART|568VULN|7FEWX|9RCR|aDMG
100	34422 13221	   	169.41	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3TLV|4AART|567VULN|8CGEN|9RCR|aDMG
101	34523 13321	   	169.41	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3CGEN|4AART|567VULN|8ERES|9RCR|aDMG
102	41882 13413	   	169.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2MBVNT|3BELT|4ZMB|5RCR|68VULN|7CDMG|9DMG|aAART
103	42142 13221	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DUR|4ERES|567VULN|8CGEN|9RCR|aDMG
104	42163 13321	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DUR|4CGEN|567VULN|8ERES|9RCR|aDMG
105	34422 13353	   	169.31	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3TLV|4AART|567VULN|8DUST|9RCR|aDMG
106	41131 83214	   	169.22	DCR|3VULN|1AART|1DMG|1ASPD	1RCVC|2MBVNT|356VULN|4ERES|7RCR|8DMG|9ASPD|aAART
107	42632 33621	   	169.18	DCR|2AART|2VULN|1DMG|1ZMB	1RCVC|26AART|3ERES|4LHND|57VULN|8ZMB|9RCR|aDMG
108	46123 23361	   	168.86	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|25VULN|3BASICY|4DUR|67DMG|8RCR|9BEXP|aAART
109	32223 14751	   	168.78	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	137DUR|2MBVNT|4AART|57CGEN|67VULN|7BPWR|8ZMB|9RCR|aDMG
110	13553 13323	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2aVULN|35DMG|4ASPD|6BEXP|7RCR|8CDMG|9ZMB
111	13553 33323	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2aVULN|35DMG|4ASPD|6FEWX|7RCR|8CDMG|9ZMB
112	13553 63323	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2aVULN|35DMG|4ASPD|6LWND|7RCR|8CDMG|9ZMB
113	16551 13323	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2BEXP|36DMG|4ASPD|5aVULN|7RCR|8CDMG|9ZMB
114	23633 62225	   	168.70	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1CGEN|26VULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9ZMB|aDUR
115	14551 13323	   	168.60	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2DUST|36DMG|4ASPD|5aVULN|7RCR|8CDMG|9ZMB
116	42652 13111	   	168.58	ACR|4VULN|1AART|1DUR	1RCVC|2AART|3ERES|4RCR|5679VULN|8DUR|aLWND
117	42652 13112	   	168.58	ACR|4VULN|1AART|1DUR	1RCVC|2AART|3ERES|4RCR|5679VULN|8DUR|aRPLT
118	42652 13113	   	168.58	ACR|4VULN|1AART|1DUR	1RCVC|2AART|3ERES|4RCR|5679VULN|8DUR|aLHND
119	42652 13132	   	168.58	ACR|4VULN|1AART|1DUR	1RCVC|2AART|3ERES|4RCR|567aVULN|8DUR|9LHND
120	23251 64332	   	168.34	ACR|3VULN|1AART|1DMG|1ASPD	157CGEN|257VULN|3RPLT|4RCR|57BPWR|6AART|8TLV|9DMG|aASPD
121	42652 12223	   	168.13	ACR|3VULN|1AART|1CDMG|1ASPD	1RCVC|2AART|3ERES|4RCR|56aVULN|7FEWX|8CDMG|9ASPD
122	31263 13315	   	168.02	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2CDMG|35LWND|4VULN|6RCR|7RCVC|89DMG|aAART
123	31263 13345	   	168.02	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|35LWND|49VULN|6RCR|7RCVC|8DMG|aAART
124	23633 62161	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|26VULN|3ASPD|4ERES|56DMG|6BPWR|7RCR|8RPLT|9AART|aLWND
125	23633 62162	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|26VULN|3ASPD|4ERES|56DMG|6BPWR|7RCR|8RPLT|9AART|aLHND
126	31336 13315	   	167.92	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2CDMG|3VULN|4CGEN|5TLV|6RCR|7RCVC|89DMG|aAART
127	31336 13345	   	167.92	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|39VULN|4CGEN|5TLV|6RCR|7RCVC|8DMG|aAART
128	41846 13313	   	167.74	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2MBVNT|3BELT|4RCR|5ASPD|68VULN|7CDMG|9DMG|aAART
129	31111 34156	 * 	167.71	DCR|3VULN|1AART|2CDMG|2DUR	17DUR|27CDMG|3AART|4LHND|5CGEN|678VULN|7BPWR|9MBVNT|aRCR
130	31121 32113	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3AART|4BEXP|5CGEN|69VULN|7RCR|8RPLT|aDMG
131	42652 11111	   	167.60	ACR|3VULN|1AART|1DMG	1RCVC|2AART|3ERES|4RCR|568VULN|7RPLT|9DMG|aFEWX
132	42652 11112	   	167.60	ACR|3VULN|1AART|1DMG	1RCVC|2AART|3ERES|4RCR|568VULN|7RPLT|9DMG|aLWND
133	42652 11113	   	167.60	ACR|3VULN|1AART|1DMG	1RCVC|2AART|3ERES|4RCR|568VULN|7RPLT|9DMG|aCGEN
134	31142 51632	   	167.60	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|2CDMG|36AART|4ZMB|5LWND|7MGNSTR|8RCR|9aVULN
135	42652 13211	 * 	167.50	ACR|3VULN|1AART|2CDMG	1RCVC|2AART|3ERES|4RCR|567VULN|8aCDMG|9CGEN
136	31632 21415	   	167.33	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	158DUR|2CDMG|348CGEN|68VULN|7AART|8BPWR|9DMG|aRCR
137	46133 25311	 * 	167.26	DCR|4VULN|2CDMG|1ZMB|2RCVC	14RCVC|2689VULN|39BASICY|59CDMG|7RCR|9BPWR|aZMB
138	13551 13225	   	167.25	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|25VULN|38DMG|4ASPD|69BEXP|7RCR|aAART
139	34122 24111	 * 	167.18	DCR|3AART|2DMG|1VULN|2DUR	12DUR|3MLV|468AART|5VULN|79DMG|aRCR
140	34122 24141	 * 	167.18	DCR|3AART|2VULN|1DMG|2DUR	12DUR|3MLV|468AART|59VULN|7DMG|aRCR
141	34523 24111	   	167.18	DCR|3AART|2DMG|1VULN|2DUR	12DUR|3CGEN|468AART|5VULN|79DMG|aRCR
142	34122 11114	   	167.11	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3MLV|4AART|568VULN|7RPLT|9DMG|aRCR
143	34523 11114	   	167.11	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3CGEN|4AART|568VULN|7RPLT|9DMG|aRCR
144	42163 24111	   	167.09	DCR|3AART|2DMG|1VULN|1DUR	1RCVC|268AART|3DUR|4CGEN|5VULN|79DMG|aRCR
145	34422 24111	   	167.08	DCR|3AART|2DMG|1VULN|2DUR	12DUR|3TLV|468AART|5VULN|79DMG|aRCR
146	45322 11141	   	167.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2TLV|39VULN|4DUR|5LIT|6RCR|7DMG|8ZMB|aAART
147	45322 11421	   	167.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2TLV|38VULN|4DUR|5LIT|6RCR|7DMG|9ZMB|aAART
148	42163 11114	   	167.02	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DUR|4CGEN|568VULN|7RPLT|9DMG|aRCR
149	32224 64453	   	167.02	DCR|3VULN|1AART|3DUR|1CDMG	137DUR|2MBVNT|4AART|57LHND|678VULN|7BPWR|9RCR|aCDMG
150	34422 11114	   	167.01	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3TLV|4AART|568VULN|7RPLT|9DMG|aRCR
151	42142 24111	   	166.99	DCR|3AART|2DMG|1VULN|1DUR	1RCVC|268AART|3DUR|4ERES|5VULN|79DMG|aRCR
