0	Index      	Bounty	 *	Score 	Summary	Detail	
123	12452 34333	5	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	1aLHND|2DMG|39aVULN|4DUST|5TLV|6RCR|7RPLT|8aDUR|aBPWR
124	15255 12332	3	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	17LHND|257VULN|37DUR|4DMSP|6BBNT|7BPWR|8TLV|9DMG|aRCR
125	15265 12332	4	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	147LHND|257VULN|37DUR|6BBNT|7BPWR|8TLV|9DMG|aRCR
126	15551 12332	5	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	17LHND|237VULN|4RCVC|57DUR|6BBNT|7BPWR|8TLV|9DMG|aRCR
127	16355 12332	2	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	17LHND|27DUR|357VULN|4DMSP|6BBNT|7BPWR|8TLV|9DMG|aRCR
128	22363 51211	8	   	252.06	DCR|4VULN|1DMG|1DUR	1LIT|2ERES|3DMG|469aVULN|5DUR|7RMIN|8RCR
129	22363 52211	8	   	252.06	DCR|4VULN|1DMG|1DUR	1LIT|2ERES|3DMG|469aVULN|5DUR|7MLV|8RCR
130	22533 51211	8	   	252.06	DCR|4VULN|1DMG|1DUR	1LIT|2ERES|369aVULN|4DMG|5DUR|7RMIN|8RCR
131	22533 52211	8	   	252.06	DCR|4VULN|1DMG|1DUR	1LIT|2ERES|369aVULN|4DMG|5DUR|7MLV|8RCR
132	26361 51211	8	   	252.06	DCR|4VULN|1DMG|1TLV	1LIT|2TLV|3DMG|469aVULN|5DUST|7RMIN|8RCR
133	26361 52211	8	   	252.06	DCR|4VULN|1DMG|1TLV	1LIT|2TLV|3DMG|469aVULN|5DUST|7MLV|8RCR
134	26531 51211	8	   	252.06	DCR|4VULN|1DMG|1TLV	1LIT|2TLV|369aVULN|4DMG|5DUST|7RMIN|8RCR
135	26531 52211	8	   	252.06	DCR|4VULN|1DMG|1TLV	1LIT|2TLV|369aVULN|4DMG|5DUST|7MLV|8RCR
136	25512 12223	6	   	251.95	DCR|3VULN|2DUR|3LIT|1TLV	179LIT|289VULN|3MBVNT|4TLV|5CGEN|69DUR|9BPWR|aRCR
137	25512 18323	7	   	251.95	DCR|3VULN|2DUR|3LIT|1TLV	189LIT|279VULN|3MBVNT|4TLV|5CGEN|69DUR|9BPWR|aRCR
