0	Index      	Bounty	 *	Score 	Summary	Detail	
133	16216 11132	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|346aVULN|5DMG|7BEXP|8CDMG|9RCR
134	16216 11133	9	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|346aVULN|5DMG|7BEXP|8CDMG|9RCR
135	16216 11262	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|3468VULN|5DMG|7BEXP|9CDMG|aRCR
136	16216 12132	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|346aVULN|5DMG|7LHND|8CDMG|9RCR
137	16216 12133	9	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|346aVULN|5DMG|7LHND|8CDMG|9RCR
138	16216 12262	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|3468VULN|5DMG|7LHND|9CDMG|aRCR
139	16216 16132	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|346aVULN|5DMG|7LWND|8CDMG|9RCR
140	16216 16133	9	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|346aVULN|5DMG|7LWND|8CDMG|9RCR
141	16216 11214	8	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|3468VULN|5DMG|7BEXP|9RCR|aCDMG
142	16216 12214	8	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|3468VULN|5DMG|7LHND|9RCR|aCDMG
143	13612 55313	3	   	257.21	DCR|3VULN|2DUR|2ASPD|1DMG	18DUR|2FEWX|38ASPD|4DMG|5CGEN|678VULN|8BPWR|9RCR|aLHND
144	13612 55311	3	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	18DUR|2FEWX|38ASPD|4DMG|5CGEN|678VULN|8BPWR|9RCR|aLEGI
145	13612 55312	3	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	18DUR|2FEWX|38ASPD|4DMG|5CGEN|678VULN|8BPWR|9RCR|aERES
146	12212 11123	7	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	17DUR|2RPLT|39aVULN|4ASPD|5AART|6DMG|8RCR
147	12212 21123	6	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	16DUR|2RPLT|39aVULN|4ASPD|5AART|7DMG|8RCR
148	12212 31123	5	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	16DUR|2RPLT|39aVULN|4ASPD|5AART|7DMG|8RCR
149	12215 11123	5	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	16DUR|2RPLT|39aVULN|4ASPD|5DMG|7AART|8RCR
150	11214 42263	5	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	15DUR|2LHND|34VULN|6RCR|78DMG|9TLV|aCDMG
151	11221 56353	3	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DUR|2LHND|36VULN|45DMG|7TLV|9RCR|aCDMG
152	13216 22132	9	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2FEWX|34aVULN|5DMG|6DMSP|7LHND|8aCDMG|9RCR|aBPWR
153	13216 42132	9	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2FEWX|34aVULN|5DMG|6LHND|7RCVC|8aCDMG|9RCR|aBPWR
154	13246 12132	9	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2FEWX|36aVULN|4DMSP|5DMG|7LHND|8aCDMG|9RCR|aBPWR
155	13216 31132	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|27FEWX|34aVULN|5DMG|6DUST|8aCDMG|9RCR|aBPWR
156	16216 21132	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2DUST|34aVULN|5DMG|6DMSP|7BEXP|8aCDMG|9RCR|aBPWR
157	16216 22132	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2DUST|34aVULN|5DMG|6DMSP|7LHND|8aCDMG|9RCR|aBPWR
158	16216 26132	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2DUST|34aVULN|5DMG|6DMSP|7LWND|8aCDMG|9RCR|aBPWR
159	16216 42132	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2DUST|34aVULN|5DMG|6LHND|7RCVC|8aCDMG|9RCR|aBPWR
160	16246 11132	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2DUST|36aVULN|4DMSP|5DMG|7BEXP|8aCDMG|9RCR|aBPWR
161	16246 12132	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|2DUST|36aVULN|4DMSP|5DMG|7LHND|8aCDMG|9RCR|aBPWR
162	16216 31132	9	   	255.76	DCR|3VULN|2DUR|2CDMG|1DMG	1aDUR|26DUST|34aVULN|5DMG|7BEXP|8aCDMG|9RCR|aBPWR
163	16216 32132	9	   	255.76	DCR|3VULN|2DUR|2CDMG|1DMG	1aDUR|26DUST|34aVULN|5DMG|7LHND|8aCDMG|9RCR|aBPWR
164	16216 36132	9	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUR|26DUST|34aVULN|5DMG|7LWND|8aCDMG|9RCR|aBPWR
165	12241 52242	4	   	255.55	DCR|2VULN|3DMG|3DUR	14aDUR|2RPLT|35VULN|67aDMG|8RCR|9aLWND|aBPWR
166	15211 35122	1	   	255.55	DCR|2VULN|3DMG|3DUR	139DUR|23LWND|39BPWR|4BBNT|579DMG|69VULN|8RCVC|aRCR
