0	Index      	Bounty	 *	Score 	Summary	Detail	
88	61542 31131	4	   	240.19	DCR|3VULN|2DUR|1TLV	1ZMB|28DUR|3ERES|45aVULN|6LIT|7TLV|9RCR
89	21212 36263	1	   	239.84	DCR|4VULN|1TLV|1DUR	1LHND|2TBNT|3BBNT|4578VULN|6TLV|9RCR|aDUR
90	22212 36263	1	   	239.84	DCR|4VULN|1TLV|1DUR	1LHND|2BBNT|3TBNT|4578VULN|6TLV|9RCR|aDUR
91	51212 36263	1	   	239.84	DCR|4VULN|1TLV|1DUR	1LWND|2TBNT|3BBNT|4578VULN|6TLV|9RCR|aDUR
92	52212 36263	1	   	239.84	DCR|4VULN|1TLV|1DUR	1LWND|2BBNT|3TBNT|4578VULN|6TLV|9RCR|aDUR
93	12462 22131	1	 * 	239.71	ACR|2VULN|3DMG|3DUR|1TLV	1RCR|2RMIN|39aDMG|49aDUR|56VULN|7TLV|89aFEWX|9aBPWR
94	12462 22531	1	   	239.71	ACR|2VULN|3DMG|3DUR|1TLV	1RCR|2RMIN|39aDMG|49aDUR|56VULN|7TLV|89aLHND|9aBPWR
95	15462 22131	2	   	239.71	ACR|2VULN|3DMG|3DUR|1TLV	1RCR|2RMIN|39aDMG|49aDUR|56VULN|7TLV|89aFEWX|9aBPWR
96	14161 62431	1	 * 	239.47	ACR|4VULN|3DUR|3TLV	1RCR|239aVULN|4RCVC|5MBVNT|6FEWX|79aTLV|89aDUR|9aBPWR
97	23431 12263	7	   	239.35	DCR|3VULN|1TLV|1DUR|1CDMG	1LHND|2LIT|3CDMG|4RMIN|578VULN|6TLV|9DUR|aRCR
98	24111 36613	1	   	239.35	DCR|3VULN|1DUR|1TLV|1CDMG	1LHND|2DUR|368VULN|4LIT|5CDMG|7TLV|9MLV|aRCR
99	54111 33313	1	   	239.35	DCR|3VULN|1TLV|1DUR|1CDMG	1LWND|2DUR|368VULN|4LIT|5CDMG|7RMIN|9TLV|aRCR
100	23133 64232	2	   	239.32	DCR|3VULN|1TLV|2LIT|1CDMG|1AART	1LHND|23LIT|4AART|56aVULN|7CDMG|8TLV|9RCR
101	23133 64263	2	   	239.32	DCR|3VULN|1TLV|2LIT|1CDMG|1AART	1LHND|23LIT|4AART|569VULN|7CDMG|8TLV|aRCR
102	23353 64232	3	   	239.32	DCR|3VULN|1TLV|2LIT|1CDMG|1AART	1LHND|24LIT|3AART|56aVULN|7CDMG|8TLV|9RCR
103	53133 64232	2	   	239.32	DCR|3VULN|1TLV|2LIT|1CDMG|1AART	1LWND|23LIT|4AART|56aVULN|7CDMG|8TLV|9RCR
104	63412 51233	6	   	239.28	DCR|3VULN|2TLV|1CDMG|1ASPD|1AART	1ZMB|2AART|346VULN|56TLV|6BPWR|7ASPD|8MLV|9CDMG|aRCR
105	63412 51333	6	   	239.28	DCR|3VULN|2TLV|1CDMG|1ASPD|1AART	1ZMB|2AART|346VULN|56TLV|6BPWR|7ASPD|8CDMG|9CGEN|aRCR
106	63412 21333	5	 * 	239.12	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	17ZMB|2AART|34VULN|57TLV|67DMG|7BPWR|8CDMG|9CGEN|aRCR
107	63423 21333	3	   	239.12	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	17ZMB|2AART|35VULN|47TLV|67DMG|7BPWR|8CDMG|9CGEN|aRCR
108	23313 56432	10	   	239.08	DCR|3VULN|1DMG|1TLV|1AART	1LHND|2LIT|3AART|4DUST|578VULN|6TLV|9DMG|aRCR
109	23232 34362	5	   	238.74	DCR|4VULN|1DUR|2LIT	13LHND|25LIT|4579VULN|5BPWR|6RCR|8DUR|aLWND
110	23232 34364	5	   	238.74	DCR|4VULN|1DUR|2LIT	13LHND|25LIT|4579VULN|5BPWR|6RCR|8DUR|aRPLT
111	23232 34314	5	   	238.64	DCR|4VULN|1DUR|2LIT	13LHND|25LIT|457aVULN|5BPWR|6RCR|8DUR|9DUST
112	23232 34361	5	   	238.64	DCR|4VULN|1DUR|2LIT	13LHND|25LIT|4579VULN|5BPWR|6RCR|8DUR|aDUST
113	23232 33636	5	   	238.61	DCR|4VULN|3LIT|1ASPD|1NUKE	137LHND|257LIT|4579VULN|57BPWR|6RCR|8NUKE|aASPD
114	23142 62431	2	   	238.54	DCR|4VULN|1TLV|2LIT	1LHND|23LIT|479aVULN|5DUST|6RCR|8TLV
115	53323 62431	4	   	238.54	DCR|4VULN|1TLV|2LIT	1LWND|24LIT|3DUST|579aVULN|6RCR|8TLV
116	23232 34525	5	   	238.51	DCR|4VULN|3LIT|1ASPD	13LHND|25aLIT|4579VULN|5BPWR|6RCR|8ASPD
117	21212 16266	1	   	238.41	DCR|4VULN|1DMG|1ASPD	1LHND|2TBNT|3BBNT|4578VULN|6DMG|9RCR|aASPD
118	22212 16266	1	   	238.41	DCR|4VULN|1DMG|1ASPD	1LHND|2BBNT|3TBNT|4578VULN|6DMG|9RCR|aASPD
119	63412 33323	5	   	238.06	DCR|3VULN|1TLV|1DUR|1ASPD|1AART	1ZMB|2AART|34aVULN|5TLV|6BEXP|7DUR|8ASPD|9RCR
120	63423 33323	3	   	238.06	DCR|3VULN|1TLV|1DUR|1ASPD|1AART	1ZMB|2AART|35aVULN|4TLV|6BEXP|7DUR|8ASPD|9RCR
121	63412 21323	7	   	237.96	DCR|3VULN|1TLV|1DUR|1ASPD|1AART	1ZMB|2AART|34aVULN|5TLV|6DUR|7DUST|8ASPD|9RCR
122	23112 24363	7	   	237.73	DCR|3VULN|2ASPD|1CDMG|1AART	1LHND|2LIT|34ASPD|5CDMG|6AART|789VULN|aRCR
123	23112 24563	8	   	237.73	DCR|3VULN|2ASPD|1CDMG|1AART	1LHND|2LIT|34ASPD|5CDMG|6AART|789VULN|aRCR
124	23112 46363	5	   	237.73	DCR|3VULN|2ASPD|1CDMG|1AART	1LHND|2LIT|34ASPD|5CDMG|689VULN|7AART|aRCR
125	12145 21331	1	 * 	237.57	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1RCR|2RMIN|3BBNT|45aVULN|6aCDMG|7DUR|8ASPD|9aDMG|aBPWR
126	12345 21331	1	   	237.57	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1RCR|2RMIN|3TBNT|45aVULN|6aCDMG|7DUR|8ASPD|9aDMG|aBPWR
127	12615 21331	1	   	237.57	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1RCR|2RMIN|35aVULN|4TBNT|6aCDMG|7DUR|8ASPD|9aDMG|aBPWR
128	15145 21331	2	   	237.57	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1RCR|2RMIN|3BBNT|45aVULN|6aCDMG|7DUR|8ASPD|9aDMG|aBPWR
129	15315 21331	3	   	237.57	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1RCR|2RMIN|35aVULN|4TBNT|6aCDMG|7DUR|8ASPD|9aDMG|aBPWR
130	15345 21331	2	   	237.57	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1RCR|2RMIN|3TBNT|45aVULN|6aCDMG|7DUR|8ASPD|9aDMG|aBPWR
131	15615 21331	2	   	237.57	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1RCR|2RMIN|35aVULN|4TBNT|6aCDMG|7DUR|8ASPD|9aDMG|aBPWR
132	23215 33232	4	   	237.56	DCR|3VULN|3LIT|1DUR|1TLV	1347LHND|247LIT|47BPWR|579VULN|6RCR|8TLV|aDUR
133	23232 33241	5	   	237.56	DCR|3VULN|3LIT|1DUR|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DUR|aMLV
134	23232 33243	5	   	237.56	DCR|3VULN|3LIT|1DUR|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DUR|aRMIN
135	23232 33244	5	   	237.56	DCR|3VULN|3LIT|1DUR|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DUR|aFEWX
136	23232 33245	5	   	237.56	DCR|3VULN|3LIT|1DUR|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DUR|aCGEN
137	23232 33246	5	   	237.56	DCR|3VULN|3LIT|1DUR|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DUR|aZMB
138	23232 33413	5	   	237.56	DCR|3VULN|3LIT|1DUR|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8BELT|9TLV|aDUR
139	14112 62312	1	   	237.55	ACR|4VULN|2DMG|1DUR	1RCR|2359VULN|4TBNT|6DUR|79LWND|89DMG|9BPWR|aLIT
140	14612 62312	1	   	237.55	ACR|4VULN|2DMG|1DUR	1RCR|2359VULN|39BPWR|4TBNT|6DUR|79LWND|89DMG|aLIT
141	15212 62312	1	   	237.55	ACR|4VULN|2DMG|1DUR	1RCR|2BBNT|3459VULN|6DUR|79LWND|89DMG|9BPWR|aLIT
142	12462 22135	1	   	237.54	ACR|3VULN|2DMG|2DUR|1TLV	1RCR|2RMIN|39DMG|49DUR|56aVULN|7TLV|89FEWX|9BPWR
143	12462 22631	1	   	237.54	ACR|3VULN|2DMG|2DUR|1TLV	1RCR|2RMIN|3aDMG|4aDUR|569VULN|7TLV|8aBEXP|aBPWR
144	23232 33641	5	   	237.46	DCR|3VULN|3LIT|1DUR|1TLV|1NUKE	137LHND|257LIT|457VULN|57BPWR|6RCR|8NUKE|9DUR|aTLV
145	66152 32233	6	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1ZMB|2BELT|379VULN|4DUR|5RCVC|6DMG|8TLV|aRCR
146	11425 34123	9	   	237.42	ACR|4VULN|2ASPD|1DUR|2LIT|1AART	1RCR|27ASPD|37LIT|4RPLT|578aVULN|6AART|7BPWR|9DUR
147	63363 37322	5	 * 	237.31	DCR|2VULN|3DMG|1DUR|1AART	158ZMB|2AART|3MBVNT|456DMG|58BPWR|78VULN|9DUR|aRCR
148	63411 12413	10	   	237.26	DCR|4VULN|1DMG|1AART	1ZMB|2AART|3468VULN|5LWND|7LHND|9RCR|aDMG
149	63413 12413	10	   	237.26	DCR|4VULN|1DMG|1AART	1ZMB|2AART|3468VULN|5FEWX|7LHND|9RCR|aDMG
150	11412 14232	7	 * 	237.21	ACR|3VULN|3ASPD|3LIT|2TLV|1CDMG	1RCR|248ASPD|38aLIT|5CDMG|6aTLV|78aVULN|8aBPWR|9RPLT
151	11131 36265	4	   	237.01	ACR|4VULN|3ASPD|2DUR	1RCR|269ASPD|34LHND|579aVULN|89DUR|9BPWR
152	11133 36265	5	   	237.01	ACR|4VULN|3ASPD|2DUR	1RCR|269ASPD|34LHND|579aVULN|89DUR|9BPWR
153	11642 12431	8	   	236.94	ACR|3VULN|3DMG|3ASPD	1RCR|29aASPD|3RCVC|4ERES|59aVULN|6LWND|7LHND|89aDMG|9aBPWR
154	12563 11143	6	   	236.91	ACR|2VULN|3DMG|3DUR|1CDMG	1RCR|2BELT|3RPLT|48aDUR|5CDMG|68VULN|789DMG|8BPWR
155	23232 34345	5	   	236.77	DCR|3VULN|1DUR|2LIT|1ASPD|1AART	13LHND|25LIT|457VULN|5BPWR|6RCR|8DUR|9ASPD|aAART
156	63411 12413	9	 * 	236.74	DCR|5VULN|1AART	1ZMB|2AART|3468aVULN|5LWND|7LHND|9RCR
157	63413 12413	9	   	236.74	DCR|5VULN|1AART	1ZMB|2AART|3468aVULN|5FEWX|7LHND|9RCR
158	63411 14123	9	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	1ZMB|2AART|346VULN|5LWND|7LIT|8DMG|9CDMG|aRCR
