0	Index      	 *	Score 	Summary	Detail	
94	22633 13132	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|59aVULN|6AART|7ZMB|8RCVC
95	22633 13332	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|48FEWX|59aVULN|6AART|7ZMB
96	22633 14336	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|59aVULN|6AART|7BEXP|8ZMB
97	24265 11213	   	181.58	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	17DUR|27CDMG|3AART|47DMG|5SELL|6RCR|7BPWR|8RPLT|9MLV|aVULN
98	24265 11223	   	181.58	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	17DUR|27CDMG|3AART|47DMG|5SELL|6RCR|7BPWR|8RPLT|9BEXP|aVULN
99	24265 11233	   	181.58	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	17DUR|27CDMG|3AART|47DMG|5SELL|6RCR|7BPWR|89RPLT|aVULN
100	22633 16263	   	181.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|589VULN|6AART|7MBVNT|aZMB
101	24265 11121	   	181.48	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	17DUR|27CDMG|3AART|47DMG|5SELL|6RCR|7BPWR|8TLV|9BEXP|aVULN
102	24265 11312	   	181.48	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	17DUR|27CDMG|3AART|47DMG|5SELL|6RCR|7BPWR|8DUST|9LWND|aVULN
103	22232 11635	 * 	181.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|35AART|4MLV|6RCR|7LWND|89VULN|aCDMG
104	22242 33412	 * 	181.46	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|25DMG|38AART|4RPLT|6RCR|7CDMG|9LWND|aVULN
105	22242 33426	   	181.46	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|25DMG|38AART|4RPLT|6RCR|7CDMG|9RCVC|aVULN
106	22623 16243	   	181.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4LEGI|589VULN|6AART|7MBVNT|aZMB
107	22242 33432	   	181.36	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|25DMG|38AART|4RPLT|6RCR|7CDMG|9DUST|aVULN
108	22242 33442	   	181.36	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|25DMG|38AART|4RPLT|6RCR|7CDMG|9LEGI|aVULN
109	22242 33453	   	181.22	DCR|2AART|2DMG|1VULN|1CDMG|1DUR|1SELL	1DUR|25DMG|38AART|4RPLT|6RCR|7CDMG|9SELL|aVULN
110	22613 15225	   	181.07	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ASPD	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9BELT|aASPD
111	22212 16452	   	181.03	DCR|3VULN|1AART|1DMG|3DUR	147DUR|2DMG|3AART|5TLV|6RCR|89aVULN
112	22211 33231	 * 	180.97	DCR|2AART|2DMG|1VULN|3DUR|2ASPD	149DUR|29DMG|38AART|5VULN|6ERES|79ASPD|9BPWR|aRCR
113	22211 53231	   	180.97	DCR|2AART|2DMG|1VULN|3DUR|2ASPD	149DUR|29DMG|38AART|5VULN|6TLV|79ASPD|9BPWR|aRCR
114	33345 41121	   	180.86	DCR|2VULN|2DMG|1AART|1CDMG	178LIT|2MLV|3AART|48VULN|58DMG|6RCR|8BPWR|9CGEN|aCDMG
115	22133 33412	   	180.86	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|23DMG|48AART|5RPLT|6RCR|7CDMG|9LWND|aVULN
116	22133 33426	   	180.86	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|23DMG|48AART|5RPLT|6RCR|7CDMG|9RCVC|aVULN
117	31345 41121	   	180.76	DCR|2VULN|2DMG|1AART|1CDMG	178LIT|2TLV|3AART|48VULN|58DMG|6RCR|8BPWR|9CGEN|aCDMG
118	22133 33432	   	180.76	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|23DMG|48AART|5RPLT|6RCR|7CDMG|9DUST|aVULN
119	22133 33442	   	180.76	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|23DMG|48AART|5RPLT|6RCR|7CDMG|9LEGI|aVULN
120	22133 33453	   	180.62	DCR|2AART|2DMG|1VULN|1CDMG|1DUR|1SELL	1DUR|23DMG|48AART|5RPLT|6RCR|7CDMG|9SELL|aVULN
121	22211 26561	   	180.50	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	147DUR|28DMG|3AART|58VULN|6RMIN|8BPWR|9ASPD|aRCR
122	22613 14222	   	180.44	ACR|2DMG|1AART|1VULN|2FLTHEA|2DUR	1aDUR|2aDMG|3RCR|47BEXP|5VULN|6AART|8aFLTHEA|9BELT|aBPWR
123	22625 62132	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4LEGI|5RCVC|6ZMB|79aVULN|8AART
124	22626 32132	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4LEGI|5ZMB|6RCVC|79aVULN|8AART
125	22132 13552	   	180.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|23DMG|4AART|5TLV|6RCR|7ASPD|8BEXP|9aVULN
126	22613 11135	   	180.08	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4BEXP|59VULN|67AART|8CGEN|aCDMG
127	22613 11226	 * 	180.08	ACR|2VULN|2AART|1DMG|1FLTHEA|1DUR	1DUR|2DMG|3RCR|4BEXP|5aVULN|67AART|8FLTHEA|9BELT
