0	Index      	 *	Score 	Summary	Detail	
149	43511 13612	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2ERES|3BEXP|4DUR|5CDMG|6LHND|8DMG|9RCR|aAART
150	61341 23612	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2LHND|3DUR|47VULN|5CDMG|6BEXP|8DMG|9RCR|aAART
151	62341 13612	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2FEWX|3DUR|47VULN|5CDMG|6LHND|8DMG|9RCR|aAART
152	42223 13612	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2LHND|3DUST|4DUR|6CDMG|7ERES|8DMG|9RCR|aAART
153	46221 31216	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2DUR|3DMG|4DUST|5CDMG|7TLV|8FEWX|9RCR|aAART
154	46221 33112	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2DUR|3DMG|4DUST|5CDMG|7CGEN|8LEGI|9RCR|aAART
155	46221 43112	   	158.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2DUR|36DMG|4DUST|5CDMG|7CGEN|8LEGI|9RCR|aAART
156	34241 34112	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUR|3DUST|46VULN|5CDMG|7DMG|8LEGI|9RCR|aAART
157	43211 13612	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2ERES|3DUST|4DUR|5CDMG|6LHND|8DMG|9RCR|aAART
158	43211 16412	   	158.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2ERES|3DUST|4DUR|5CDMG|6LHND|78DMG|9RCR|aAART
159	43211 34216	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUST|4DUR|5CDMG|7DMG|8FEWX|9RCR|aAART
160	43321 13612	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2ERES|3DUR|4DUST|5CDMG|6LHND|8DMG|9RCR|aAART
161	43321 16412	   	158.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2ERES|3DUR|4DUST|5CDMG|6LHND|78DMG|9RCR|aAART
