0	Index      	 *	Score 	Summary	Detail	
74	31214 23626	   	173.75	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2ASPD|3AART|49DMG|5CGEN|6RCR|7TLV|8aVULN
75	36236 11411	   	173.73	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1ERES|28DMG|3AART|4ZMB|5CDMG|6RCR|7SELL|9FEWX|aVULN
76	26241 12214	   	173.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2AART|3aLHND|4LWND|5CDMG|6aVULN|7RCR|8DMG|9aDUR|aBPWR
77	36233 15312	   	173.58	DCR|3DMG|1AART|1VULN|1ZMB	1ERES|29aDMG|3AART|4ZMB|5FEWX|6LWND|7RCR|8VULN
78	26441 12212	   	173.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2AART|39DUR|4LWND|5CDMG|6aVULN|7RCR|8DMG
79	13151 12563	   	173.35	DCR|3VULN|2DMG|2ASPD|1DUR	1BELT|289VULN|38ASPD|48DMG|5NUKE|6LEGI|7RCR|8BPWR|aDUR
80	21645 31132	   	173.21	DCR|3VULN|2DMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|47aVULN|58DMG|6RCR|9RCVC
81	21645 31311	   	173.21	DCR|3VULN|2DMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|47aVULN|59DMG|6RCR|8RPLT
82	26333 51621	 * 	172.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1FEWX|29AART|3DMG|4DUR|5LHND|6CDMG|78VULN|aRCR
83	31133 23727	   	172.45	DCR|2VULN|2DMG|1AART|1ASPD	13ERES|2ASPD|4MBVNT|5AART|6RCR|79DMG|8aVULN
84	36133 23727	   	172.45	DCR|2VULN|2DMG|1AART|1ASPD	13ERES|29DMG|4MBVNT|5AART|6RCR|7ASPD|8aVULN
85	26513 13832	 * 	172.38	DCR|2AART|2VULN|1DMG|1FLTHEA|1SELL	1FEWX|2aAART|36VULN|4SELL|5MBVNT|7RCR|8DMG|9FLTHEA
86	36233 35336	   	172.38	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2DMG|39AART|4ZMB|5FEWX|6DUR|7RCR|8VULN|aCDMG
87	12433 16533	 * 	172.33	ACR|2VULN|2DMG|3ASPD|2DUR	1BELT|289ASPD|3RCR|48VULN|5CGEN|6aDUR|78DMG|8BPWR
88	26241 12326	   	172.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2AART|3LHND|4LWND|5CDMG|6aVULN|7RCR|8ZMB|9DMG
89	56313 33423	 * 	171.97	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1MLV|29DMG|3DUR|4RCR|5RCVC|6ASPD|7VULN|8AART|aCDMG
90	36232 63411	   	171.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ERES|28DMG|3AART|4ZMB|5VULN|6ASPD|7RCR|9CGEN|aDUR
91	36232 63521	   	171.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ERES|29DMG|3AART|4ZMB|5VULN|6ASPD|7RCR|8MLV|aDUR
92	36234 22135	   	171.78	DCR|2AART|2DMG|1VULN|1ZMB	1ERES|2aDMG|39AART|4ZMB|5CGEN|6RCR|7VULN|8LWND
93	36236 12151	 * 	171.69	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG	1ERES|2DMG|38AART|47ZMB|5CDMG|6RCR|9RPLT|aVULN
94	36233 15316	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ERES|29DMG|3AART|4ZMB|5FEWX|6LWND|7RCR|8VULN|aCDMG
95	36232 63331	   	171.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	189ERES|29DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aLHND
96	36232 63332	   	171.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	189ERES|29DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aMLV
97	36232 63333	   	171.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	189ERES|29DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aLWND
98	36232 63334	   	171.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	189ERES|29DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aCGEN
99	36232 63336	   	171.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	189ERES|29DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aRMIN
100	36232 31562	   	171.43	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1ERES|2DMG|37AART|4aZMB|5VULN|6DUR|8CDMG|9RCR
101	56314 22333	 * 	171.43	ACR|3DMG|2VULN|1ZMB|1DUR	1MLV|28aDMG|3DUR|4RCR|5FEWX|6aVULN|7ZMB|9aCGEN|aBPWR
102	21645 31111	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|47VULN|58DMG|6RCR|9CDMG|aLIT
103	21645 31113	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|47VULN|58DMG|6RCR|9CDMG|aLHND
104	21645 31121	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|47VULN|58DMG|6RCR|9BELT|aCDMG
105	21645 32311	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|4aVULN|58DMG|6RCR|7LHND|9CDMG
106	12435 11351	   	171.13	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BELT|2ASPD|3RCR|4aVULN|5ZMB|6DUR|7LHND|8DMG|9AART
107	12463 12351	   	171.13	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BELT|2ASPD|3RCR|4DUR|5aVULN|6LWND|7ZMB|8DMG|9AART
108	31211 22554	   	171.12	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	1ERES|2ASPD|3AART|4DMG|5aZMB|6RCR|7RPLT|89VULN
109	26231 16351	 * 	170.97	DCR|4VULN|1AART|1CDMG	1FEWX|2AART|3LHND|4BEXP|5CDMG|689aVULN|7RCR
110	13261 23155	 * 	170.92	DCR|3VULN|3DMG	1BELT|248VULN|3RPLT|58TLV|6RCR|78aDMG|8BPWR|9LWND
