0	Index      	 *	Score 	Summary	Detail	
93	33551 53311	   	186.75	ACR|3ASPD|1AART|1BEXP|1AAC	1LHND|2AAC|3RCR|4VULN|567ASPD|8DUR|9BEXP|aAART
94	51333 11551	   	186.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1CDMG|2FEWX|3RCR|4MLV|5LHND|6MDPS|7DMG|8BEXP|9BASARM|aLIT
95	51333 11552	   	186.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1CDMG|2FEWX|3RCR|4MLV|5LHND|6MDPS|7DMG|8BEXP|9BASARM|aERES
96	51311 58321	 * 	186.31	ACR|1BASARM|2CDMG|1AART|1BEXP	19CDMG|2FEWX|3RCR|4MBVNT|5MDPS|6AART|7BEXP|8ERES|aBASARM
97	51313 44648	   	186.31	ACR|1BASARM|1DMG|1CDMG|1BEXP	1CDMG|2FEWX|3RCR|4MBVNT|5BEXP|6LSRICY|7TLV|8ERES|9BASARM|aDMG
98	51313 17824	 * 	186.24	ACR|3ASPD|2BEXP|1CDMG	1CDMG|2FEWX|3RCR|4MBVNT|57BEXP|6DUR|89aASPD
99	13514 33523	   	186.23	ACR|3ASPD|1DMG|1AART|1AAC	1LWND|2AAC|3RCR|479ASPD|5ZMB|6CGEN|8DMG|aAART
100	33514 33523	   	186.23	ACR|3ASPD|1DMG|1AART|1AAC	1LHND|2AAC|3RCR|479ASPD|5ZMB|6CGEN|8DMG|aAART
101	13512 23523	   	186.13	ACR|3ASPD|1DMG|1AART|1AAC	1LWND|2AAC|3RCR|479ASPD|5AME|6ZMB|8DMG|aAART
102	13512 23524	   	186.13	ACR|3ASPD|1DMG|1BEXP|1AAC	1LWND|2AAC|3RCR|479ASPD|5AME|6ZMB|8DMG|aBEXP
103	13512 23525	   	186.13	ACR|3ASPD|1DMG|1CDMG|1AAC	1LWND|2AAC|3RCR|479ASPD|5AME|6ZMB|8DMG|aCDMG
104	33512 23523	   	186.13	ACR|3ASPD|1DMG|1AART|1AAC	1LHND|2AAC|3RCR|479ASPD|5AME|6ZMB|8DMG|aAART
105	33512 23524	   	186.13	ACR|3ASPD|1DMG|1BEXP|1AAC	1LHND|2AAC|3RCR|479ASPD|5AME|6ZMB|8DMG|aBEXP
106	33512 23525	   	186.13	ACR|3ASPD|1DMG|1CDMG|1AAC	1LHND|2AAC|3RCR|479ASPD|5AME|6ZMB|8DMG|aCDMG
107	51312 67124	   	186.13	ACR|3ASPD|1DMG|1CDMG|1AAC	1CDMG|2FEWX|3RCR|4MBVNT|5AAC|69aASPD|7DMG|8LWND
108	13551 53234	   	186.03	ACR|3ASPD|2VULN|1AART|1AAC	1LWND|2AAC|3RCR|48VULN|567ASPD|9MBVNT|aAART
109	33511 56223	 * 	185.84	ACR|2ASPD|3AAC|1DMG|1CDMG	1LHND|289AAC|3RCR|46ASPD|5DUR|7CDMG|aDMG
110	23352 34163	 * 	185.78	ACR|4VULN|1ASPD|1DMG|1BEXP|1AAC	1BEXP|2AAC|3DUST|478aVULN|5RCR|6ASPD|9DMG
111	33511 55233	 * 	185.55	ACR|3ASPD|2AART|1AAC	1LHND|2AAC|3RCR|46aASPD|5DUR|7VULN|89AART
112	21352 36214	   	185.51	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|9DUR
113	21352 36224	   	185.41	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|9DUST
114	21352 36236	   	185.41	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|9ERES
115	21352 36241	   	185.41	ACR|3BEXP|2DMG|1ASPD	189BEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|aAME
116	22352 33214	   	185.41	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|9DUR
117	22352 33234	   	185.41	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|9FEWX
118	22352 33246	   	185.41	ACR|3BEXP|2DMG|1ASPD	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|aLIT
119	22352 36214	   	185.41	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|9DUR
120	22352 36234	   	185.41	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|9FEWX
121	21352 35214	   	185.31	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|9DUR
122	22352 33241	   	185.31	ACR|3BEXP|2DMG|1ASPD	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|aAME
123	22352 33244	   	185.31	ACR|3BEXP|2DMG|1ASPD	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|aERES
124	22352 36241	   	185.31	ACR|3BEXP|2DMG|1ASPD	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|aAME
125	21352 36242	   	185.26	ACR|3BEXP|2DMG|1ASPD|1SELL	189BEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|aSELL
126	21352 35224	   	185.21	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|9DUST
127	21352 35236	   	185.21	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|9ERES
128	21352 35241	   	185.21	ACR|3BEXP|2DMG|1ASPD	189BEXP|2FEWX|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|aAME
129	22352 35214	   	185.21	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|9DUR
130	22352 35234	   	185.21	ACR|3BEXP|2DMG|1ASPD	18aBEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|9FEWX
131	22352 33242	   	185.16	ACR|3BEXP|2DMG|1ASPD|1SELL	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|aSELL
132	22352 36242	   	185.16	ACR|3BEXP|2DMG|1ASPD|1SELL	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|aSELL
133	22352 35241	   	185.11	ACR|3BEXP|2DMG|1ASPD	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|aAME
