0	Index      	 *	Score 	Summary	Detail	
100	53521 34112	   	202.68	DCR|2AART|2DMG|1VULN|2ZMB|1DUR	15ZMB|2DUR|34AART|6RCR|7TLV|8aDMG|9VULN
101	32423 55111	   	202.60	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|23RCVC|456VULN|7MBVNT|8ASPD|9RCR|aCDMG
102	34236 11231	   	202.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2RMIN|39ASPD|46VULN|5DUR|7CDMG|8RCR|aLHND
103	34236 11233	   	202.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2RMIN|39ASPD|46VULN|5DUR|7CDMG|8RCR|aBEXP
104	34236 11234	   	202.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2aRMIN|39ASPD|46VULN|5DUR|7CDMG|8RCR
105	34623 33412	   	202.38	DCR|3DMG|1VULN|1AART|2DUR|1ZMB	1AART|2RMIN|35aDMG|46DUR|7RCR|8ZMB|9VULN
106	53526 32112	   	202.36	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1ZMB|2DUR|34AART|5RCVC|6RCR|7CGEN|8aDMG|9VULN
107	52335 31326	 * 	202.34	DCR|2DMG|1MDPS|3ZMB|1VULN|1CDMG	158ZMB|2CDMG|3RPLT|48FEWX|6RCR|78DMG|8BPWR|9VULN|aMDPS
108	34233 21734	   	202.33	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1AAC	1AART|2RMIN|3ASPD|49VULN|5DMG|6AAC|7MBVNT|8RCR|aMDPS
109	34236 11235	   	202.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR|1SELL	1AART|2RMIN|39ASPD|46VULN|5DUR|7CDMG|8RCR|aSELL
110	52612 15332	   	201.96	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1ZMB|25CDMG|3LWND|49VULN|6DUR|7AART|8ASPD|aRCR
111	12422 11633	   	201.72	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1MSE	1FEWX|2AART|3CDMG|4RCVC|5ASPD|67VULN|8RCR|9MSE|aMDPS
112	12422 11641	   	201.72	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1FEWX|2AART|3CDMG|4RCVC|5ASPD|67VULN|8RCR|9MDPS|aCGEN
113	12422 11642	   	201.72	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1FEWX|2AART|3CDMG|4RCVC|5ASPD|67VULN|8RCR|9MDPS|aERES
114	12422 11643	   	201.72	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1FEWX|2AART|3CDMG|4RCVC|5ASPD|67VULN|8RCR|9MDPS|aMLV
115	12426 11633	   	201.72	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1MSE	1FEWX|2AART|3CDMG|4RCVC|5DMG|67VULN|8RCR|9MSE|aMDPS
116	36422 11633	   	201.72	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1MSE	1AART|2FEWX|3CDMG|4RCVC|5ASPD|67VULN|8RCR|9MSE|aMDPS
117	34121 21232	 * 	201.65	DCR|2AART|1VULN|2CDMG|1ASPD|1ZMB|1DUR	14AART|2RMIN|3DUR|5ZMB|6VULN|7aCDMG|8RCR|9ASPD
118	53525 21232	   	201.65	DCR|2AART|1VULN|2CDMG|1ASPD|1ZMB|1DUR	1ZMB|2DUR|34AART|5RMIN|6VULN|7aCDMG|8RCR|9ASPD
119	62422 11633	   	201.62	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1MSE	1DUST|2AART|3CDMG|4RCVC|5ASPD|67VULN|8RCR|9MSE|aMDPS
120	34233 53212	   	201.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1AART|2RMIN|3ASPD|4VULN|58DMG|6CGEN|7CDMG|9DUR|aRCR
121	12323 63221	 * 	201.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1FEWX|2AART|35VULN|4MDPS|6RCR|7VENFST|89DMG|aCDMG
122	36323 63221	   	201.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1AART|2FEWX|35VULN|4MDPS|6RCR|7VENFST|89DMG|aCDMG
123	34623 21262	 * 	201.38	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1aAART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9MBVNT
124	12323 63223	 * 	201.20	DCR|2VULN|2AART|2DMG|1MDPS	1FEWX|2aAART|35VULN|4MDPS|6RCR|7VENFST|89DMG
125	36323 63223	   	201.20	DCR|2VULN|2AART|2DMG|1MDPS	1aAART|2FEWX|35VULN|4MDPS|6RCR|7VENFST|89DMG
126	53522 32122	 * 	201.09	DCR|2AART|2DMG|1ASPD|2DUR|1ZMB	1ZMB|25DUR|34AART|6RCR|7CGEN|89DMG|aASPD
127	31453 32622	 * 	201.08	DCR|2VULN|2AART|2CDMG|2DUR	18AART|29DUR|3aCDMG|49VULN|59BEXP|6RCR|7RMIN|9BPWR
128	32223 31234	   	201.04	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1AART|2RCVC|3VULN|4BEXP|5DMG|6ZMB|7aCDMG|8RCR|9ASPD
129	53522 34122	   	200.99	DCR|2AART|2DMG|1ASPD|2DUR|1ZMB	1ZMB|25DUR|34AART|6RCR|7TLV|89DMG|aASPD
130	32243 31234	   	200.94	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1AART|2RCVC|3VULN|4DUST|5DMG|6ZMB|7aCDMG|8RCR|9ASPD
131	52312 35361	 * 	200.90	DCR|2VULN|3CDMG|3ZMB|1DMG	149ZMB|249CDMG|3RPLT|49BPWR|5LHND|6RCR|7MLV|89VULN|aDMG
132	52313 35361	   	200.90	DCR|2VULN|3CDMG|3ZMB|1DMG	149ZMB|249CDMG|3RPLT|49BPWR|5LWND|6RCR|7MLV|89VULN|aDMG
133	62422 11622	   	200.73	DCR|3VULN|1AART|1ASPD|1CDMG	1DUST|2AART|3CDMG|4RCVC|5ASPD|67aVULN|8RCR|9RPLT
134	53521 63112	   	200.68	DCR|2AART|2DMG|1VULN|2ZMB|1DUR	15ZMB|2DUR|34AART|6ERES|7RCR|8aDMG|9VULN
135	32223 33663	   	200.58	DCR|2VULN|2DMG|1AART|2ZMB|1AAC	1AART|2RCVC|39VULN|4BEXP|59DMG|69ZMB|7RCR|8AAC|9BPWR|aRMIN
136	32223 31236	   	200.55	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2RCVC|3VULN|4BEXP|5DMG|6ZMB|7CDMG|8RCR|9ASPD|aSPLREG
137	12422 11615	   	200.54	DCR|2VULN|2AART|1ASPD|1CDMG	1FEWX|2aAART|3CDMG|49RCVC|5ASPD|67VULN|8RCR
138	32423 31352	   	200.52	DCR|3VULN|2AART|1DMG	18AART|23RCVC|459VULN|6DMG|7RPLT|aRCR
139	32223 33665	   	200.48	DCR|2VULN|2DMG|1AART|2ZMB|1AAC	1AART|2RCVC|39VULN|4BEXP|59DMG|69ZMB|7RCR|8AAC|9BPWR|aDUST
140	32266 13112	   	200.39	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AART|25RCVC|39VULN|4DUR|6DMSP|7RCR|8DMG|aASPD
141	34633 13413	   	200.33	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1AART|2RMIN|35DMG|49VULN|6DMSP|7RCR|8ZMB|aAAC
142	12422 62232	 * 	200.25	DCR|1MDPS|2ASPD|1AART|1DMG|1CDMG|1DUR	1FEWX|2AART|3CDMG|4RCVC|59ASPD|6DMG|7DUR|8RCR|aMDPS
143	36422 62232	   	200.25	DCR|1MDPS|2ASPD|1AART|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|4RCVC|59ASPD|6DMG|7DUR|8RCR|aMDPS
144	34226 21236	   	200.20	DCR|3ASPD|1VULN|1AART|1CDMG|2DUR	1AART|2RMIN|39aASPD|45DUR|6VULN|7CDMG|8RCR
145	34236 31236	   	200.20	DCR|3ASPD|1VULN|1AART|1CDMG|2DUR	1AART|2RMIN|39aASPD|4VULN|56DUR|7CDMG|8RCR
146	62422 62232	   	200.15	DCR|1MDPS|2ASPD|1AART|1DMG|1CDMG|1DUR	1DUST|2AART|3CDMG|4RCVC|59ASPD|6DMG|7DUR|8RCR|aMDPS
147	34233 46322	 * 	200.12	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RMIN|38ASPD|4VULN|5DMG|6LWND|7CDMG|9ZMB|aRCR
148	32223 46325	   	200.10	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RCVC|3VULN|4BEXP|5DMG|6LWND|7CDMG|8ASPD|9RCR|aMDPS
149	31432 33442	   	199.97	DCR|2VULN|2AART|2CDMG|1ZMB|1DUR	18AART|2DUR|3aCDMG|4ZMB|5LWND|67VULN|9RCR
150	12422 11443	   	199.82	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1FEWX|2AART|3CDMG|4RCVC|5ASPD|67VULN|8LWND|9RCR|aMDPS
151	32211 13112	   	199.74	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2RCVC|39VULN|4RMIN|5ZMB|6DMSP|7RCR|8DMG|aASPD
152	32251 13112	   	199.74	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2RCVC|39VULN|4MLV|5ZMB|6DMSP|7RCR|8DMG|aASPD
153	54521 32112	   	199.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|2ZMB	15ZMB|2AME|3ASPD|4AART|6RCR|7CGEN|8DMG|9VULN|aMDPS
154	32223 46332	   	199.66	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RCVC|39VULN|4BEXP|5DMG|6LWND|7CDMG|8ASPD|aRCR
