0	Index      	 *	Score 	Summary	Detail	
69	31313 23421	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|78ASPD|9RMIN
70	31313 23431	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|78ASPD|9ZMB
71	31313 23442	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|78ASPD|9FEWX
72	31313 23452	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|78ASPD|9DUR
73	31313 23461	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|78ASPD|9CGEN
74	31613 23324	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|59BEXP|6AART|8FEWX|aDMG
75	31613 23412	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|29BELT|37ASPD|4RCR|5aBEXP|6AART|8DMG
76	31613 23421	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|6AART|8DMG|9RMIN
77	31613 23431	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|6AART|8DMG|9ZMB
78	31613 23442	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|6AART|8DMG|9FEWX
79	31613 23452	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|6AART|8DMG|9DUR
80	31613 23461	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|6AART|8DMG|9CGEN
81	31613 25242	   	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|38ASPD|4RCR|5aBEXP|6AART|7RPLT|9DMG
82	31313 21421	   	204.30	ACR|2DMG|2BEXP|1ASPD|1AART|1CDMG	1CDMG|2BELT|39DMG|4RCR|5aBEXP|6AART|7ERES|8ASPD
83	31313 21461	   	204.30	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|7ERES|89ASPD
84	31313 23621	   	204.30	ACR|2DMG|2BEXP|1ASPD|1AART|1CDMG	1CDMG|2BELT|39DMG|4RCR|5aBEXP|6AART|7ASPD|8TLV
85	31313 23661	   	204.30	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|79ASPD|8TLV
86	31313 25642	 * 	204.11	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	1CDMG|2BELT|39DMG|4RCR|58BEXP|6AART|7RPLT|aVULN
87	31312 23455	 * 	203.99	ACR|2ASPD|1VULN|1DMG|2CDMG|1AART	1aCDMG|2BELT|3DMG|4RCR|5FEWX|6AART|78ASPD|9VULN
88	31316 62152	   	203.99	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	18CDMG|2BELT|35DMG|4RCR|6AART|7ASPD|9VULN|aFEWX
89	31316 62315	   	203.99	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	1aCDMG|2BELT|35DMG|4RCR|6AART|7ASPD|8VULN|9FEWX
90	31615 23314	   	203.99	ACR|2ASPD|1VULN|1DMG|2CDMG|1AART	19CDMG|2BELT|37ASPD|4RCR|5LWND|6AART|8VULN|aDMG
91	31314 62533	   	203.89	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	15CDMG|2BELT|39DMG|4RCR|6AART|7ASPD|8AEFBLL|aVULN
92	31611 23314	   	203.89	ACR|2ASPD|1VULN|1DMG|2CDMG|1AART	19CDMG|2BELT|37ASPD|4RCR|5LEGI|6AART|8VULN|aDMG
93	23145 23215	 * 	203.89	ACR|3BEXP|2AART|1VULN|1DMG|1AAC	1AAC|2LIT|3VULN|4DMG|5RCR|67AART|89aBEXP
94	31315 23133	 * 	203.82	ACR|3AART|2DMG|1ASPD|1CDMG	1CDMG|2BELT|39DMG|4RCR|5LWND|68aAART|7ASPD
95	26335 35121	 * 	203.70	ACR|1BASARM|2ASPD|2VULN|1AAC	1AAC|29ASPD|3LIT|49DUST|5RCR|6BASARM|7aVULN|89LWND|9BPWR
96	32321 56244	 * 	203.14	DCR|1BASARM|2AART|1VULN|1ASPD|2CDMG	13CDMG|24AART|3BPWR|5VULN|6LIT|7ASPD|8BASARM|9MBVNT|aRCR
97	31613 32114	   	203.01	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	1CDMG|2BELT|38ASPD|4RCR|5aBEXP|6MSLTOX|7AART|9VULN
98	23145 23353	 * 	202.26	ACR|2VULN|2AART|1DMG|2AAC|1CDMG	18AAC|2LIT|3aVULN|4DMG|5RCR|67AART|9CDMG
99	31313 25652	   	201.97	ACR|2AART|2BEXP|1DMG|1VULN|1CDMG	1CDMG|2BELT|3DMG|4RCR|58BEXP|69AART|7RPLT|aVULN
100	11341 23512	   	201.84	ACR|1BASARM|2AART|2BEXP	1LIT|2DUR|3LWND|4RCR|56AART|79BEXP|8RCVC|aBASARM
101	31315 23364	   	201.81	ACR|2ASPD|2DMG|1AART|1CDMG|1AAC	1CDMG|2BELT|3aDMG|4RCR|5LWND|6AART|79ASPD|8AAC
102	26335 53213	 * 	201.71	ACR|3BEXP|2ASPD|2AART|1AAC	1AAC|2aASPD|3LIT|4aDUST|5RCR|67AART|89aBEXP|aBPWR
103	31311 23364	   	201.71	ACR|2ASPD|2DMG|1AART|1CDMG|1AAC	1CDMG|2BELT|3aDMG|4RCR|5LEGI|6AART|79ASPD|8AAC
104	26335 35222	   	201.58	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1AAC|2ASPD|3LIT|4DUST|5RCR|6BASARM|7VULN|8ERES|9BEXP|aCDMG
105	26335 35322	   	201.58	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2ASPD|3LIT|4DUST|5RCR|6BASARM|7VULN|8NUKE|9BEXP|aCDMG
106	31615 23336	 * 	201.25	ACR|3VULN|2ASPD|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5LWND|6AART|89aVULN
107	31314 62313	   	200.86	ACR|2AART|1VULN|1ASPD|1DMG|2CDMG	15CDMG|2BELT|3DMG|4RCR|6aAART|7ASPD|8VULN|9FEWX
108	31614 62313	   	200.86	ACR|2AART|1VULN|1ASPD|1DMG|2CDMG	15CDMG|2BELT|3ASPD|4RCR|6aAART|7DMG|8VULN|9FEWX
109	31312 23343	   	200.86	ACR|2AART|1VULN|1ASPD|1DMG|2CDMG	19CDMG|2BELT|3DMG|4RCR|5FEWX|6aAART|7ASPD|8VULN
110	31312 23653	   	200.86	ACR|2AART|1VULN|1ASPD|1DMG|2CDMG	18CDMG|2BELT|3DMG|4RCR|5FEWX|6aAART|7ASPD|9VULN
111	31312 14513	   	200.57	ACR|2DMG|2BEXP|1ASPD|2CDMG|1AAC	19CDMG|2BELT|39DMG|4RCR|5FEWX|6LHND|79BEXP|8AAC|9BPWR|aASPD
112	31315 14513	   	200.57	ACR|2DMG|2BEXP|1ASPD|2CDMG|1AAC	19CDMG|2BELT|39DMG|4RCR|5LWND|6LHND|79BEXP|8AAC|9BPWR|aASPD
113	31612 14513	 * 	200.57	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AAC	19CDMG|2BELT|39ASPD|4RCR|5FEWX|6LHND|79BEXP|8AAC|9BPWR|aDMG
114	31313 24155	   	200.36	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7LHND|8CGEN|9LWND|aBASARM
115	31313 24663	 * 	200.27	ACR|2AART|2BEXP|1ASPD|1DMG|1CDMG	1CDMG|2BELT|3DMG|4RCR|58BEXP|6aAART|7LHND|9ASPD
116	31312 24635	   	200.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5FEWX|6AART|7LHND|8BEXP|9TLV|aBASARM
117	31313 24115	   	200.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7LHND|8CGEN|9DUST|aBASARM
118	31313 24235	   	200.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7LHND|8LWND|9TLV|aBASARM
119	31613 24115	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5BEXP|6AART|7LHND|8CGEN|9DUST|aBASARM
120	31613 24235	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5BEXP|6AART|7LHND|8LWND|9TLV|aBASARM
121	31311 21355	   	200.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5LEGI|6AART|7ERES|8BEXP|9LWND|aBASARM
122	31313 21225	   	200.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7ERES|8DUST|9LWND|aBASARM
123	31313 21235	   	200.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7ERES|8DUST|9DUR|aBASARM
124	31313 24535	   	200.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7LHND|8LEGI|9TLV|aBASARM
125	31315 21315	   	200.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5LWND|6AART|7ERES|8BEXP|9DUST|aBASARM
126	31611 21355	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5LEGI|6AART|7ERES|8BEXP|9LWND|aBASARM
127	31613 21225	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5BEXP|6AART|7ERES|8DUST|9LWND|aBASARM
128	31613 21235	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5BEXP|6AART|7ERES|8DUST|9DUR|aBASARM
129	31613 21515	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5BEXP|6AART|7ERES|8FEWX|9DUST|aBASARM
130	31615 21315	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5LWND|6AART|7ERES|8BEXP|9DUST|aBASARM
131	31311 21315	   	200.06	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5LEGI|6AART|7ERES|8BEXP|9DUST|aBASARM
132	31611 21315	   	200.06	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3ASPD|4RCR|5LEGI|6AART|7ERES|8BEXP|9DUST|aBASARM
133	31313 33314	 * 	200.01	ACR|3DMG|2BEXP|1VULN|1CDMG	1CDMG|2BELT|37aDMG|4RCR|58BEXP|6MSLTOX|9VULN
134	31613 23362	 * 	199.99	ACR|3ASPD|2BEXP|1AART|1CDMG	1CDMG|2BELT|379ASPD|4RCR|5aBEXP|6AART|8FEWX
135	11341 22212	   	199.93	ACR|1BASARM|2AART|2BEXP	1LIT|27DUR|3LWND|4RCR|56AART|89BEXP|aBASARM
136	64131 23323	   	199.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2VULN|3RMIN|4MLV|5RCR|6DMG|7CGEN|8ASPD|9BELT|aBASARM
137	31315 23324	   	199.88	ACR|3DMG|1ASPD|1AART|1CDMG|1AAC	1CDMG|2BELT|39aDMG|4RCR|5LWND|6AART|7ASPD|8AAC
138	11341 25212	   	199.83	ACR|1BASARM|2AART|2BEXP	1LIT|2DUR|3LWND|4RCR|56AART|7AEMAG|89BEXP|aBASARM
139	31315 23435	   	199.82	ACR|2ASPD|2DMG|2CDMG|1AART	1aCDMG|2BELT|39DMG|4RCR|5LWND|6AART|78ASPD
140	31613 23243	   	199.79	ACR|2ASPD|2AART|2BEXP|1CDMG	1CDMG|29BELT|37ASPD|4RCR|5aBEXP|68AART
141	64111 23323	   	199.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2VULN|3RMIN|4CGEN|5RCR|6DMG|7ERES|8ASPD|9BELT|aBASARM
142	64131 21323	   	199.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2VULN|3RMIN|4MLV|5RCR|6DMG|7ERES|8ASPD|9BELT|aBASARM
143	31311 23324	   	199.78	ACR|3DMG|1ASPD|1AART|1CDMG|1AAC	1CDMG|2BELT|39aDMG|4RCR|5LEGI|6AART|7ASPD|8AAC
144	31314 62532	   	199.72	ACR|2ASPD|2DMG|2CDMG|1AART	15CDMG|2BELT|39DMG|4RCR|6AART|7aASPD|8AEFBLL
145	31613 23212	   	199.69	ACR|2ASPD|2AART|2BEXP|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|68AART|9ERES
146	31613 23232	   	199.69	ACR|2ASPD|2AART|2BEXP|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|68AART|9MDPS
147	31613 23262	   	199.69	ACR|2ASPD|2AART|2BEXP|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5aBEXP|68AART|9AME
148	31316 26532	   	199.58	ACR|3DMG|1VULN|1AART|1CDMG|1AAC	1CDMG|2BELT|359DMG|4RCR|6LWND|7AART|8AAC|aVULN
149	31313 16155	   	199.36	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6LHND|7AART|8CGEN|9LWND|aBASARM
150	24152 22232	 * 	199.32	ACR|3ASPD|3CDMG|1AART|1AAC|1SELL	1AAC|2SELL|3RCR|4AART|5RMIN|69aASPD|79aCDMG|89aLHND|9aBPWR
151	31312 14516	 * 	199.27	ACR|2DMG|2BEXP|2CDMG|1VULN|1AAC	19CDMG|2BELT|39DMG|4RCR|5FEWX|6LHND|79BEXP|8AAC|9BPWR|aVULN
152	31313 16663	   	199.27	ACR|2AART|2BEXP|1ASPD|1DMG|1CDMG	1CDMG|2BELT|3DMG|4RCR|58BEXP|6LHND|7aAART|9ASPD
153	31313 16115	   	199.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6LHND|7AART|8CGEN|9DUST|aBASARM
