0	Index      	 *	Score 	Summary	Detail	
149	22313 24127	   	184.31	DCR|3VULN|2DMG|1AART|1DUR	19DMG|29CGEN|3MBVNT|4AART|5LIT|6DUR|79aVULN|8RCR|9BPWR
150	22313 24128	   	184.31	DCR|3DMG|2VULN|1AART|1DUR	19aDMG|29CGEN|3MBVNT|4AART|5LIT|6DUR|79VULN|8RCR|9BPWR
151	21214 34112	   	184.29	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	167DMG|2AART|3MLV|4RCR|5RCVC|8VULN|9CDMG|aDUR
152	21632 33212	   	184.28	ACR|3DMG|2AART|1CDMG|1ZMB|1ASPD	136DMG|2aAART|3BPWR|4ZMB|5RCR|7ASPD|8CGEN|9CDMG
153	21632 35512	   	184.28	ACR|3DMG|2AART|1CDMG|1ZMB|1DUR	136DMG|2aAART|3BPWR|4ZMB|5RCR|7DUR|8RCVC|9CDMG
154	21632 55213	   	184.18	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7CDMG|8ASPD|9VULN|aLWND
155	21632 55232	   	184.18	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7CDMG|8ASPD|9LHND|aVULN
156	13126 15116	   	184.11	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	18BEXP|28DUR|3AART|4LHND|5VULN|68DMG|7RCR|8BPWR|9ZMB|aCDMG
157	21632 55212	   	184.08	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7CDMG|8ASPD|9VULN|aTLV
158	21632 63431	   	183.85	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUST|7FEWX|8CDMG|9FLTHEA|aVULN
159	21632 34141	   	183.75	ACR|3DMG|2AART|1VULN|1ZMB	136DMG|29AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|aMLV
160	21632 34142	   	183.75	ACR|3DMG|2AART|1VULN|1ZMB	136DMG|29AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|aLWND
161	21632 34143	   	183.75	ACR|3DMG|2AART|1VULN|1ZMB	136DMG|29AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|aLIT
162	21632 65131	   	183.75	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUST|7CDMG|8MBVNT|9FLTHEA|aVULN
163	21632 65211	   	183.75	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUST|7CDMG|8aASPD|9VULN
164	21632 35621	 * 	183.69	ACR|3DMG|2AART|3DUR|2ZMB	136DMG|2aAART|38BPWR|48ZMB|5RCR|789DUR
165	21632 63115	   	183.65	ACR|3DMG|2AART|1VULN|1ZMB	139DMG|2aAART|3BPWR|4ZMB|5RCR|6DUST|7FEWX|8VULN
166	21354 63213	   	183.43	DCR|3DMG|2AART|1VULN|1ZMB	169DMG|2aAART|3BEXP|4VULN|56LWND|6BPWR|7ZMB|8RCR
167	21412 23254	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2AART|39VULN|4ASPD|5LWND|7FEWX|8RCR|aCDMG
