0	Index      	Bounty	 *	Score 	Summary	Detail	
79	25123 33622	3	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4ASPD|5BEXP|68CDMG|7RMIN|8BPWR|9RCR
80	25143 33622	3	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4LHND|5ASPD|68CDMG|7RMIN|8BPWR|9RCR
81	25143 33622	4	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4LHND|5ASPD|68CDMG|7RMIN|8BPWR|9RCR
82	25163 33622	3	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4FEWX|5ASPD|68CDMG|7RMIN|8BPWR|9RCR
83	25163 33622	4	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4LWND|5ASPD|68CDMG|7RMIN|8BPWR|9RCR
84	25122 32321	3	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4ASPD|5LHND|68CDMG|7BBNT|8BPWR|9RCR
85	25123 32321	3	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4ASPD|5BEXP|68CDMG|7BBNT|8BPWR|9RCR
86	25126 33622	3	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4ASPD|5DUST|68CDMG|7RMIN|8BPWR|9RCR
87	25143 32321	3	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4LHND|5ASPD|68CDMG|7BBNT|8BPWR|9RCR
88	25143 32321	4	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4LHND|5ASPD|68CDMG|7BBNT|8BPWR|9RCR
89	25163 32321	4	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4LWND|5ASPD|68CDMG|7BBNT|8BPWR|9RCR
90	25163 32321	3	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4FEWX|5ASPD|68CDMG|7BBNT|8BPWR|9RCR
91	25126 32321	3	   	269.77	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4ASPD|5DUST|68CDMG|7BBNT|8BPWR|9RCR
92	22123 16442	10	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	189DMG|2BEXP|348VULN|58LIT|6RCR|7RPLT|8BPWR|aDUR
93	22123 16442	9	   	269.51	DCR|3VULN|3DMG|1TLV|2LIT	189DMG|2BEXP|348VULN|58LIT|6RCR|7RPLT|8BPWR|aTLV
94	23123 16442	9	   	269.51	DCR|3VULN|3DMG|1TLV|2LIT	189DMG|2LWND|348VULN|58LIT|6RCR|7RPLT|8BPWR|aTLV
95	23123 16442	10	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	189DMG|2LWND|348VULN|58LIT|6RCR|7RPLT|8BPWR|aDUR
96	24511 23332	7	   	269.17	DCR|3VULN|3DMG|3LIT|1ASPD	19aDMG|257ERES|3ASPD|49aLIT|69aVULN|8RCR|9aBPWR
97	25624 13464	10	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	18aDMG|29aDUR|3CGEN|4MBVNT|5CDMG|6RCR|7aVULN|aBPWR
98	25424 13464	10	   	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	18aDMG|29aDUR|3ERES|4MBVNT|5CDMG|6RCR|7aVULN|aBPWR
99	15222 13661	9	 * 	268.68	ACR|4VULN|3DMG|3TLV|2CDMG	1RCR|2LEGI|367TLV|479aVULN|579DMG|79BPWR|89CDMG
100	25123 12138	7	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	1aDMG|2DUR|34aVULN|5LIT|6RCR|7ZMB|8MBVNT|9aASPD|aBPWR
101	25123 13538	6	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	1aDMG|2DUR|34aVULN|5LIT|6RCR|7MBVNT|8ZMB|9aASPD|aBPWR
102	25123 12225	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1aDMG|28DUR|34aVULN|5aLIT|6RCR|7RCVC|9TBNT|aBPWR
103	25123 16423	10	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	18DMG|2aDUR|348VULN|58LIT|6RCR|7RPLT|8BPWR|9DLOT
104	22353 26513	5	 * 	267.92	DCR|3VULN|3DMG|2ASPD	157DMG|2BEXP|37ASPD|457VULN|57BPWR|6TBNT|8LIT|9MLV|aRCR
